交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
",28512元/m2,,/ 2013年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011102207063/
"
",29493元/m2,,/ 2013年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000001221/
"
",40713元/m2,,/ 2008年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000014071/
"
",34891元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011102207024/
"
",31584元/m2,,/ 2010年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000014575/
"
",53883元/m2,,/ 2009年建成,莘闵别墅,松江,https://sh.lianjia.com/xiaoqu/5011000004936/
"
近地铁9号线佘山站
",31622元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000000811/
"
",32622元/m2,,/ 2006年建成,松江大学城,松江,https://sh.lianjia.com/xiaoqu/5011000014745/
"
",26179元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000000660/
"
",43040元/m2,,/ 2011年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000014628/
"
近地铁9号线松江大学城站
",40376元/m2,,/ 2004年建成,松江大学城,松江,https://sh.lianjia.com/xiaoqu/5011000013309/
"
",31405元/m2,,/ 2012年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000001386/
"
近地铁11号线(嘉定北-迪士尼)白银路站
",27593元/m2,,/ 2010年建成,嘉定新城,嘉定,https://sh.lianjia.com/xiaoqu/5011000009660/
"
近地铁13号线金运路站
",43892元/m2,,/ 2005年建成,江桥,嘉定,https://sh.lianjia.com/xiaoqu/5011000009869/
"
近地铁11号线(花桥-三林)嘉定新城站
",39116元/m2,,/ 2011年建成,嘉定新城,嘉定,https://sh.lianjia.com/xiaoqu/5011000009663/
"
近地铁13号线金运路站
",41189元/m2,,/ 2011年建成,江桥,嘉定,https://sh.lianjia.com/xiaoqu/5011102208191/
"
近地铁11号线(嘉定北-迪士尼)嘉定北站
",33745元/m2,,/ 2012年建成,菊园新区,嘉定,https://sh.lianjia.com/xiaoqu/5011000001232/
"
近地铁13号线金运路站
",40724元/m2,,/ 2005年建成,江桥,嘉定,https://sh.lianjia.com/xiaoqu/5011000013628/
"
近地铁13号线金运路站
",41017元/m2,,/ 2008年建成,江桥,嘉定,https://sh.lianjia.com/xiaoqu/5011000012632/
"
近地铁11号线(嘉定北-迪士尼)嘉定北站
",34474元/m2,,/ 2012年建成,菊园新区,嘉定,https://sh.lianjia.com/xiaoqu/5011000002786/
"
近地铁13号线丰庄站
",41923元/m2,,/ 1994年建成,丰庄,嘉定,https://sh.lianjia.com/xiaoqu/5011000002149/
"
近地铁13号线丰庄站
",41386元/m2,,/ 1995年建成,丰庄,嘉定,https://sh.lianjia.com/xiaoqu/5011000014713/
"
",35823元/m2,,/ 1993年建成,江桥,嘉定,https://sh.lianjia.com/xiaoqu/5011000018319/
